q_id,name,birth_date,occupation,job_group,exalted_planets,exalted_count,sign_conjunctions,conjunction_count,sign_exchange_candidates,exchange_count,Sun_exalted,Moon_exalted,Mercury_exalted,Venus_exalted,Mars_exalted,Jupiter_exalted,Saturn_exalted
Q1137,Thomas Ian Griffith,1962-03-18,"American actor, producer, screenwriter, musician and martial artist",Actor_Media,Venus,1,Mercury-Mars|Mercury-Jupiter|Mars-Jupiter,3,None,0,False,False,False,True,False,False,False
Q1138,Wayne Arthurs,1971-03-18,Australian tennis player,Athlete,None,0,Moon-Jupiter,1,Jupiter-Mars,1,False,False,False,False,False,False,False
Q1139,Sébastien Frey,1980-03-18,French footballer,Athlete,None,0,Mars-Jupiter,1,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1140,Travis Frederick,1991-03-18,American football player,Athlete,Jupiter,1,Moon-Venus,1,Mars-Venus,1,False,False,False,False,False,True,False
Q1141,Güyük Khan,1206-03-19,"Mongol ruler, 3rd Great Khan of the Mongol Empire",Other,None,0,Mercury-Mars|Jupiter-Saturn,2,None,0,False,False,False,False,False,False,False
Q1142,Abd al-Ghani al-Nabulsi,1641-03-19,Syrian author and scholar,Academic_Science,None,0,Sun-Mercury,1,Mars-Venus,1,False,False,False,False,False,False,False
Q1143,Edward Pakenham,1778-03-19,Anglo-Irish general and politician,Politics_Government,Venus|Jupiter|Saturn,3,Sun-Venus,1,None,0,False,False,False,True,False,True,True
Q1144,Carl Frederik Tietgen,1829-03-19,Danish businessman,Business,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1145,Charles Marion Russell,1864-03-19,American painter and sculptor,Other,Mars,1,None,0,Mercury-Saturn,1,False,False,False,False,True,False,False
Q1146,Ernestine Rose,1880-03-19,American librarian and advocate,Other,None,0,Sun-Jupiter|Mercury-Saturn,2,None,0,False,False,False,False,False,False,False
Q1147,Gertrud Dorka,1893-03-19,"German archaeologist, prehistorian and museum director",Actor_Media,None,0,Moon-Mercury,1,None,0,False,False,False,False,False,False,False
Q1148,Joseph Carroll,1910-03-19,American general,Politics_Government,None,0,None,0,None,0,False,False,False,False,False,False,False
