id,version,found,planets,max_gap,strength,score
115,4_planet,False,,360,0,0
115,5_planet,False,,360,0,0
115,7_planet,False,,360,0,0
116,4_planet,False,,360,0,0
116,5_planet,False,,360,0,0
116,7_planet,False,,360,0,0
117,4_planet,False,,360,0,0
117,5_planet,False,,360,0,0
117,7_planet,False,,360,0,0
118,4_planet,False,,360,0,0
118,5_planet,False,,360,0,0
118,7_planet,False,,360,0,0
119,4_planet,False,,360,0,0
119,5_planet,False,,360,0,0
119,7_planet,False,,360,0,0
120,4_planet,False,,360,0,0
120,5_planet,False,,360,0,0
120,7_planet,False,,360,0,0
121,4_planet,False,,360,0,0
121,5_planet,False,,360,0,0
121,7_planet,False,,360,0,0
122,4_planet,False,,360,0,0
122,5_planet,False,,360,0,0
122,7_planet,False,,360,0,0
123,4_planet,False,,360,0,0
123,5_planet,False,,360,0,0
123,7_planet,False,,360,0,0
124,4_planet,False,,360,0,0
124,5_planet,False,,360,0,0
124,7_planet,False,,360,0,0
125,4_planet,False,,360,0,0
125,5_planet,False,,360,0,0
125,7_planet,False,,360,0,0
126,4_planet,False,,360,0,0
126,5_planet,False,,360,0,0
126,7_planet,False,,360,0,0
127,4_planet,False,,360,0,0
127,5_planet,False,,360,0,0
127,7_planet,False,,360,0,0
128,4_planet,False,,360,0,0
128,5_planet,False,,360,0,0
128,7_planet,False,,360,0,0
129,4_planet,False,,360,0,0
129,5_planet,False,,360,0,0
129,7_planet,False,,360,0,0
130,4_planet,False,,360,0,0
130,5_planet,False,,360,0,0
130,7_planet,False,,360,0,0
131,4_planet,False,,360,0,0
131,5_planet,False,,360,0,0
131,7_planet,False,,360,0,0
132,4_planet,False,,360,0,0
132,5_planet,False,,360,0,0
132,7_planet,False,,360,0,0
133,4_planet,False,,360,0,0
133,5_planet,False,,360,0,0
133,7_planet,False,,360,0,0
134,4_planet,False,,360,0,0
134,5_planet,False,,360,0,0
134,7_planet,False,,360,0,0
135,4_planet,False,,360,0,0
135,5_planet,False,,360,0,0
135,7_planet,False,,360,0,0
136,4_planet,False,,360,0,0
136,5_planet,False,,360,0,0
136,7_planet,False,,360,0,0
137,4_planet,False,,360,0,0
137,5_planet,False,,360,0,0
137,7_planet,False,,360,0,0
138,4_planet,False,,360,0,0
138,5_planet,False,,360,0,0
138,7_planet,False,,360,0,0
139,4_planet,False,,360,0,0
139,5_planet,False,,360,0,0
139,7_planet,False,,360,0,0
140,4_planet,False,,360,0,0
140,5_planet,False,,360,0,0
140,7_planet,False,,360,0,0
141,4_planet,False,,360,0,0
141,5_planet,False,,360,0,0
141,7_planet,False,,360,0,0
142,4_planet,False,,360,0,0
142,5_planet,False,,360,0,0
142,7_planet,False,,360,0,0
143,4_planet,False,,360,0,0
143,5_planet,False,,360,0,0
143,7_planet,False,,360,0,0
144,4_planet,False,,360,0,0
144,5_planet,False,,360,0,0
144,7_planet,False,,360,0,0
145,4_planet,False,,360,0,0
145,5_planet,False,,360,0,0
145,7_planet,False,,360,0,0
146,4_planet,False,,360,0,0
146,5_planet,False,,360,0,0
146,7_planet,False,,360,0,0
147,4_planet,False,,360,0,0
147,5_planet,False,,360,0,0
147,7_planet,False,,360,0,0
148,4_planet,False,,360,0,0
148,5_planet,False,,360,0,0
148,7_planet,False,,360,0,0
149,4_planet,False,,360,0,0
149,5_planet,False,,360,0,0
149,7_planet,False,,360,0,0
150,4_planet,False,,360,0,0
150,5_planet,False,,360,0,0
150,7_planet,False,,360,0,0
151,4_planet,False,,360,0,0
151,5_planet,False,,360,0,0
151,7_planet,False,,360,0,0
152,4_planet,False,,360,0,0
152,5_planet,False,,360,0,0
152,7_planet,False,,360,0,0
153,4_planet,False,,360,0,0
153,5_planet,False,,360,0,0
153,7_planet,True,"Saturn, Mercury, Sun, Jupiter, Moon, Venus, Mars",59.54,0.77,21.43
154,4_planet,False,,360,0,0
154,5_planet,False,,360,0,0
154,7_planet,False,,360,0,0
155,4_planet,False,,360,0,0
155,5_planet,False,,360,0,0
155,7_planet,False,,360,0,0
156,4_planet,False,,360,0,0
156,5_planet,False,,360,0,0
156,7_planet,False,,360,0,0
157,4_planet,False,,360,0,0
157,5_planet,False,,360,0,0
157,7_planet,False,,360,0,0
158,4_planet,False,,360,0,0
158,5_planet,False,,360,0,0
158,7_planet,False,,360,0,0
159,4_planet,False,,360,0,0
159,5_planet,False,,360,0,0
159,7_planet,False,,360,0,0
160,4_planet,False,,360,0,0
160,5_planet,False,,360,0,0
160,7_planet,False,,360,0,0
161,4_planet,False,,360,0,0
161,5_planet,False,,360,0,0
161,7_planet,False,,360,0,0
162,4_planet,False,,360,0,0
162,5_planet,False,,360,0,0
162,7_planet,False,,360,0,0
163,4_planet,False,,360,0,0
163,5_planet,False,,360,0,0
163,7_planet,False,,360,0,0
164,4_planet,False,,360,0,0
164,5_planet,False,,360,0,0
164,7_planet,False,,360,0,0
165,4_planet,False,,360,0,0
165,5_planet,False,,360,0,0
165,7_planet,False,,360,0,0
166,4_planet,False,,360,0,0
166,5_planet,False,,360,0,0
166,7_planet,False,,360,0,0
167,4_planet,False,,360,0,0
167,5_planet,False,,360,0,0
167,7_planet,False,,360,0,0
168,4_planet,False,,360,0,0
168,5_planet,False,,360,0,0
168,7_planet,False,,360,0,0
169,4_planet,False,,360,0,0
169,5_planet,False,,360,0,0
169,7_planet,False,,360,0,0
170,4_planet,False,,360,0,0
170,5_planet,False,,360,0,0
170,7_planet,False,,360,0,0
171,4_planet,False,,360,0,0
171,5_planet,False,,360,0,0
171,7_planet,False,,360,0,0
172,4_planet,False,,360,0,0
172,5_planet,False,,360,0,0
172,7_planet,False,,360,0,0
173,4_planet,False,,360,0,0
173,5_planet,False,,360,0,0
173,7_planet,False,,360,0,0
174,4_planet,False,,360,0,0
174,5_planet,False,,360,0,0
174,7_planet,False,,360,0,0
175,4_planet,False,,360,0,0
175,5_planet,False,,360,0,0
175,7_planet,False,,360,0,0
176,4_planet,False,,360,0,0
176,5_planet,False,,360,0,0
176,7_planet,False,,360,0,0
177,4_planet,False,,360,0,0
177,5_planet,False,,360,0,0
177,7_planet,False,,360,0,0
178,4_planet,False,,360,0,0
178,5_planet,False,,360,0,0
178,7_planet,True,"Venus, Jupiter, Mercury, Mars, Moon, Sun, Saturn",58.82,1.97,82.14
179,4_planet,False,,360,0,0
179,5_planet,False,,360,0,0
179,7_planet,False,,360,0,0
180,4_planet,False,,360,0,0
180,5_planet,False,,360,0,0
180,7_planet,False,,360,0,0
181,4_planet,False,,360,0,0
181,5_planet,False,,360,0,0
181,7_planet,False,,360,0,0
182,4_planet,False,,360,0,0
182,5_planet,False,,360,0,0
182,7_planet,False,,360,0,0
183,4_planet,False,,360,0,0
183,5_planet,False,,360,0,0
183,7_planet,False,,360,0,0
184,4_planet,False,,360,0,0
184,5_planet,False,,360,0,0
184,7_planet,False,,360,0,0
185,4_planet,False,,360,0,0
185,5_planet,False,,360,0,0
185,7_planet,False,,360,0,0
186,4_planet,False,,360,0,0
186,5_planet,False,,360,0,0
186,7_planet,False,,360,0,0
187,4_planet,False,,360,0,0
187,5_planet,False,,360,0,0
187,7_planet,False,,360,0,0
188,4_planet,False,,360,0,0
188,5_planet,False,,360,0,0
188,7_planet,False,,360,0,0
189,4_planet,False,,360,0,0
189,5_planet,False,,360,0,0
189,7_planet,False,,360,0,0
190,4_planet,False,,360,0,0
190,5_planet,False,,360,0,0
190,7_planet,False,,360,0,0
191,4_planet,False,,360,0,0
191,5_planet,False,,360,0,0
191,7_planet,False,,360,0,0
192,4_planet,False,,360,0,0
192,5_planet,False,,360,0,0
192,7_planet,False,,360,0,0
193,4_planet,False,,360,0,0
193,5_planet,False,,360,0,0
193,7_planet,False,,360,0,0
194,4_planet,False,,360,0,0
194,5_planet,False,,360,0,0
194,7_planet,False,,360,0,0
195,4_planet,False,,360,0,0
195,5_planet,False,,360,0,0
195,7_planet,False,,360,0,0
196,4_planet,False,,360,0,0
196,5_planet,False,,360,0,0
196,7_planet,False,,360,0,0
197,4_planet,False,,360,0,0
197,5_planet,False,,360,0,0
197,7_planet,False,,360,0,0
198,4_planet,False,,360,0,0
198,5_planet,False,,360,0,0
198,7_planet,False,,360,0,0
199,4_planet,False,,360,0,0
199,5_planet,False,,360,0,0
199,7_planet,False,,360,0,0
200,4_planet,False,,360,0,0
200,5_planet,False,,360,0,0
200,7_planet,False,,360,0,0
201,4_planet,False,,360,0,0
201,5_planet,False,,360,0,0
201,7_planet,False,,360,0,0
202,4_planet,False,,360,0,0
202,5_planet,False,,360,0,0
202,7_planet,False,,360,0,0
203,4_planet,False,,360,0,0
203,5_planet,False,,360,0,0
203,7_planet,False,,360,0,0
204,4_planet,False,,360,0,0
204,5_planet,False,,360,0,0
204,7_planet,False,,360,0,0
205,4_planet,False,,360,0,0
205,5_planet,False,,360,0,0
205,7_planet,False,,360,0,0
206,4_planet,False,,360,0,0
206,5_planet,False,,360,0,0
206,7_planet,False,,360,0,0
207,4_planet,False,,360,0,0
